volt    param        param
         1/lx8(mp)     -i(mp)
1.83300     2.679e+11    6.862e-12
1.83200     2.608e+11    6.994e-12
1.83100     2.539e+11    7.129e-12
1.83000     2.472e+11    7.268e-12
1.82900     2.407e+11    7.411e-12
1.82800     2.344e+11    7.557e-12
1.82700     2.282e+11    7.708e-12
1.82600     2.222e+11    7.862e-12
1.82500     2.163e+11    8.021e-12
1.82400     2.106e+11    8.184e-12
1.82300     2.051e+11    8.352e-12
1.82200     1.997e+11    8.524e-12
1.82100     1.944e+11    8.700e-12
1.82000     1.893e+11    8.882e-12
1.81900     1.843e+11    9.068e-12
1.81800     1.794e+11    9.259e-12
1.81700     1.747e+11    9.456e-12
1.81600     1.701e+11    9.658e-12
1.81500     1.656e+11    9.865e-12
1.81400     1.612e+11    1.008e-11
1.81300     1.570e+11    1.030e-11
1.81200     1.528e+11    1.052e-11
1.81100     1.488e+11    1.075e-11
1.81000     1.449e+11    1.099e-11
1.80900     1.411e+11    1.123e-11
1.80800     1.374e+11    1.148e-11
1.80700     1.337e+11    1.174e-11
1.80600     1.302e+11    1.200e-11
1.80500     1.268e+11    1.227e-11
1.80400     1.234e+11    1.255e-11
1.80300     1.202e+11    1.284e-11
1.80200     1.170e+11    1.313e-11
1.80100     1.139e+11    1.343e-11
1.80000     1.109e+11    1.374e-11
1.79900     1.080e+11    1.406e-11
1.79800     1.052e+11    1.439e-11
1.79700     1.024e+11    1.472e-11
1.79600     9.973e+10    1.507e-11
1.79500     9.710e+10    1.542e-11
1.79400     9.454e+10    1.578e-11
1.79300     9.205e+10    1.616e-11
1.79200     8.962e+10    1.654e-11
1.79100     8.726e+10    1.693e-11
1.79000     8.497e+10    1.734e-11
1.78900     8.273e+10    1.775e-11
1.78800     8.055e+10    1.818e-11
1.78700     7.843e+10    1.862e-11
1.78600     7.636e+10    1.907e-11
1.78500     7.435e+10    1.953e-11
1.78400     7.239e+10    2.000e-11
1.78300     7.048e+10    2.049e-11
1.78200     6.863e+10    2.099e-11
1.78100     6.682e+10    2.151e-11
1.78000     6.506e+10    2.203e-11
1.77900     6.335e+10    2.258e-11
1.77800     6.168e+10    2.313e-11
1.77700     6.006e+10    2.370e-11
1.77600     5.847e+10    2.429e-11
1.77500     5.693e+10    2.489e-11
1.77400     5.544e+10    2.551e-11
1.77300     5.398e+10    2.615e-11
1.77200     5.255e+10    2.680e-11
1.77100     5.117e+10    2.748e-11
1.77000     4.982e+10    2.816e-11
1.76900     4.851e+10    2.887e-11
1.76800     4.723e+10    2.960e-11
1.76700     4.599e+10    3.035e-11
1.76600     4.478e+10    3.111e-11
1.76500     4.360e+10    3.190e-11
1.76400     4.245e+10    3.271e-11
1.76300     4.134e+10    3.354e-11
1.76200     4.025e+10    3.439e-11
1.76100     3.919e+10    3.527e-11
1.76000     3.816e+10    3.617e-11
1.75900     3.715e+10    3.709e-11
1.75800     3.618e+10    3.804e-11
1.75700     3.522e+10    3.902e-11
1.75600     3.430e+10    4.002e-11
1.75500     3.340e+10    4.105e-11
1.75400     3.252e+10    4.210e-11
1.75300     3.166e+10    4.319e-11
1.75200     3.083e+10    4.430e-11
1.75100     3.002e+10    4.545e-11
1.75000     2.923e+10    4.662e-11
1.74900     2.846e+10    4.783e-11
1.74800     2.771e+10    4.907e-11
1.74700     2.698e+10    5.034e-11
1.74600     2.627e+10    5.165e-11
1.74500     2.558e+10    5.299e-11
1.74400     2.491e+10    5.437e-11
1.74300     2.425e+10    5.578e-11
1.74200     2.362e+10    5.724e-11
1.74100     2.299e+10    5.873e-11
1.74000     2.239e+10    6.027e-11
1.73900     2.180e+10    6.184e-11
1.73800     2.123e+10    6.346e-11
1.73700     2.067e+10    6.512e-11
1.73600     2.013e+10    6.683e-11
1.73500     1.960e+10    6.858e-11
1.73400     1.908e+10    7.038e-11
1.73300     1.858e+10    7.223e-11
1.73200     1.809e+10    7.412e-11
1.73100     1.762e+10    7.607e-11
1.73000     1.715e+10    7.807e-11
1.72900     1.670e+10    8.013e-11
1.72800     1.626e+10    8.224e-11
1.72700     1.584e+10    8.441e-11
1.72600     1.542e+10    8.664e-11
1.72500     1.502e+10    8.892e-11
1.72400     1.462e+10    9.127e-11
1.72300     1.424e+10    9.368e-11
1.72200     1.386e+10    9.616e-11
1.72100     1.350e+10    9.870e-11
1.72000     1.314e+10    1.013e-10
1.71900     1.280e+10    1.040e-10
1.71800     1.246e+10    1.068e-10
1.71700     1.214e+10    1.096e-10
1.71600     1.182e+10    1.125e-10
1.71500     1.151e+10    1.155e-10
1.71400     1.120e+10    1.185e-10
1.71300     1.091e+10    1.217e-10
1.71200     1.062e+10    1.249e-10
1.71100     1.035e+10    1.282e-10
1.71000     1.007e+10    1.316e-10
1.70900     9.813e+09    1.351e-10
1.70800     9.556e+09    1.387e-10
1.70700     9.305e+09    1.424e-10
1.70600     9.061e+09    1.462e-10
1.70500     8.824e+09    1.501e-10
1.70400     8.592e+09    1.541e-10
1.70300     8.367e+09    1.582e-10
1.70200     8.148e+09    1.624e-10
1.70100     7.934e+09    1.667e-10
1.70000     7.726e+09    1.712e-10
1.69900     7.523e+09    1.758e-10
1.69800     7.326e+09    1.804e-10
1.69700     7.134e+09    1.853e-10
1.69600     6.947e+09    1.902e-10
1.69500     6.765e+09    1.953e-10
1.69400     6.588e+09    2.005e-10
1.69300     6.415e+09    2.058e-10
1.69200     6.247e+09    2.113e-10
1.69100     6.084e+09    2.170e-10
1.69000     5.924e+09    2.228e-10
1.68900     5.769e+09    2.287e-10
1.68800     5.618e+09    2.348e-10
1.68700     5.471e+09    2.411e-10
1.68600     5.328e+09    2.476e-10
1.68500     5.188e+09    2.542e-10
1.68400     5.053e+09    2.610e-10
1.68300     4.920e+09    2.680e-10
1.68200     4.792e+09    2.751e-10
1.68100     4.666e+09    2.825e-10
1.68000     4.544e+09    2.900e-10
1.67900     4.425e+09    2.978e-10
1.67800     4.310e+09    3.058e-10
1.67700     4.197e+09    3.139e-10
1.67600     4.087e+09    3.223e-10
1.67500     3.980e+09    3.310e-10
1.67400     3.876e+09    3.398e-10
1.67300     3.775e+09    3.489e-10
1.67200     3.676e+09    3.583e-10
1.67100     3.580e+09    3.678e-10
1.67000     3.487e+09    3.777e-10
1.66900     3.396e+09    3.878e-10
1.66800     3.307e+09    3.982e-10
1.66700     3.221e+09    4.088e-10
1.66600     3.136e+09    4.198e-10
1.66500     3.055e+09    4.310e-10
1.66400     2.975e+09    4.426e-10
1.66300     2.897e+09    4.544e-10
1.66200     2.822e+09    4.666e-10
1.66100     2.748e+09    4.791e-10
1.66000     2.676e+09    4.919e-10
1.65900     2.606e+09    5.051e-10
1.65800     2.538e+09    5.186e-10
1.65700     2.472e+09    5.325e-10
1.65600     2.408e+09    5.468e-10
1.65500     2.345e+09    5.614e-10
1.65400     2.284e+09    5.764e-10
1.65300     2.224e+09    5.919e-10
1.65200     2.166e+09    6.077e-10
1.65100     2.110e+09    6.240e-10
1.65000     2.055e+09    6.407e-10
1.64900     2.001e+09    6.578e-10
1.64800     1.949e+09    6.754e-10
1.64700     1.899e+09    6.935e-10
1.64600     1.849e+09    7.121e-10
1.64500     1.801e+09    7.311e-10
1.64400     1.754e+09    7.507e-10
1.64300     1.709e+09    7.708e-10
1.64200     1.664e+09    7.914e-10
1.64100     1.621e+09    8.126e-10
1.64000     1.579e+09    8.343e-10
1.63900     1.538e+09    8.567e-10
1.63800     1.498e+09    8.796e-10
1.63700     1.459e+09    9.031e-10
1.63600     1.421e+09    9.273e-10
1.63500     1.384e+09    9.521e-10
1.63400     1.348e+09    9.775e-10
1.63300     1.313e+09    1.004e-09
1.63200     1.279e+09    1.031e-09
1.63100     1.246e+09    1.058e-09
1.63000     1.213e+09    1.086e-09
1.62900     1.182e+09    1.115e-09
1.62800     1.151e+09    1.145e-09
1.62700     1.121e+09    1.176e-09
1.62600     1.092e+09    1.207e-09
1.62500     1.064e+09    1.239e-09
1.62400     1.036e+09    1.273e-09
1.62300     1.010e+09    1.307e-09
1.62200     9.838e+08    1.341e-09
1.62100     9.583e+08    1.377e-09
1.62000     9.335e+08    1.414e-09
1.61900     9.094e+08    1.452e-09
1.61800     8.858e+08    1.491e-09
1.61700     8.629e+08    1.530e-09
1.61600     8.406e+08    1.571e-09
1.61500     8.189e+08    1.613e-09
1.61400     7.977e+08    1.656e-09
