amps        rds          id
2.7542e-08    6.172e+07    2.754e-08
2.8184e-08    6.031e+07    2.818e-08
2.8840e-08    5.894e+07    2.884e-08
2.9512e-08    5.760e+07    2.951e-08
3.0200e-08    5.629e+07    3.020e-08
3.0903e-08    5.501e+07    3.090e-08
3.1623e-08    5.375e+07    3.162e-08
3.2359e-08    5.253e+07    3.236e-08
3.3113e-08    5.133e+07    3.311e-08
3.3884e-08    5.017e+07    3.388e-08
3.4674e-08    4.902e+07    3.467e-08
3.5481e-08    4.791e+07    3.548e-08
3.6308e-08    4.682e+07    3.631e-08
3.7154e-08    4.575e+07    3.715e-08
3.8019e-08    4.471e+07    3.802e-08
3.8905e-08    4.369e+07    3.890e-08
3.9811e-08    4.270e+07    3.981e-08
4.0738e-08    4.173e+07    4.074e-08
4.1687e-08    4.078e+07    4.169e-08
4.2658e-08    3.985e+07    4.266e-08
4.3652e-08    3.894e+07    4.365e-08
4.4668e-08    3.805e+07    4.467e-08
4.5709e-08    3.719e+07    4.571e-08
4.6774e-08    3.634e+07    4.677e-08
4.7863e-08    3.551e+07    4.786e-08
4.8978e-08    3.471e+07    4.898e-08
5.0119e-08    3.391e+07    5.012e-08
5.1286e-08    3.314e+07    5.129e-08
5.2481e-08    3.239e+07    5.248e-08
5.3703e-08    3.165e+07    5.370e-08
5.4954e-08    3.093e+07    5.495e-08
5.6234e-08    3.023e+07    5.623e-08
5.7544e-08    2.954e+07    5.754e-08
5.8884e-08    2.887e+07    5.888e-08
6.0256e-08    2.821e+07    6.026e-08
6.1660e-08    2.757e+07    6.166e-08
6.3096e-08    2.694e+07    6.310e-08
6.4565e-08    2.633e+07    6.457e-08
6.6069e-08    2.573e+07    6.607e-08
6.7608e-08    2.514e+07    6.761e-08
6.9183e-08    2.457e+07    6.918e-08
7.0795e-08    2.401e+07    7.079e-08
7.2444e-08    2.346e+07    7.244e-08
7.4131e-08    2.293e+07    7.413e-08
7.5858e-08    2.241e+07    7.586e-08
7.7625e-08    2.190e+07    7.762e-08
7.9433e-08    2.140e+07    7.943e-08
8.1283e-08    2.091e+07    8.128e-08
8.3176e-08    2.043e+07    8.318e-08
8.5114e-08    1.997e+07    8.511e-08
